Customer_ID,Marketing_Channel,Marketing_Spend,New_Customers,CAC,Conversion_Rate,Break_Even_Customers
CUST0001,Email Marketing,3489.0278438962587,16,218.06424024351617,0.4585804618323859,16.0
CUST0002,Online Ads,1107.8658076205506,33,33.57169114001669,2.97870010726991,33.0
CUST0003,Social Media,2576.081025358819,44,58.547296030882244,1.7080208101711902,44.0
CUST0004,Online Ads,3257.5679320990967,32,101.79899787809677,0.9823279411821808,32.0
CUST0005,Email Marketing,1108.4081853612497,13,85.26216810471152,1.1728531214124038,13.0
CUST0006,Email Marketing,3570.998592037343,35,102.02853120106694,0.9801180005515386,35.0
CUST0007,Referral,1542.797948922257,27,57.14066477489841,1.7500671438448065,27.0
CUST0008,Online Ads,2846.793776206047,22,129.39971710027487,0.7727992165740801,22.0
CUST0009,Social Media,1201.1385339545102,17,70.65520787967706,1.415323838128053,17.0
CUST0010,Online Ads,2516.4154567525584,39,64.5234732500656,1.5498235752505518,38.99999999999999
CUST0011,Online Ads,1846.6411368459264,15,123.10940912306177,0.8122855979272771,15.0
CUST0012,Email Marketing,2307.3832195252344,23,100.3210095445754,0.9968001762937526,23.0
CUST0013,Online Ads,4044.918831576109,50,80.89837663152218,1.236118747542764,50.0
CUST0014,Online Ads,2516.504862256545,48,52.42718463034469,1.9074074014289204,48.0
CUST0015,Email Marketing,4008.0392942191393,11,364.3672085653763,0.2744484071267834,11.0
CUST0016,Email Marketing,4327.6971406210905,13,332.8997800477762,0.30039070613278407,13.0
CUST0017,Online Ads,2009.0861271295223,31,64.80922990740395,1.5429900979054187,31.0
CUST0018,Email Marketing,1327.6249310465705,25,53.10499724186282,1.8830619563834514,25.0
CUST0019,Referral,1077.533148200043,18,59.86295267778016,1.670482251990852,18.0
CUST0020,Online Ads,3157.6761916901346,46,68.64513460195944,1.4567674836658495,46.00000000000001
CUST0021,Referral,4999.631314036837,23,217.37527452334072,0.4600339216098953,23.0
CUST0022,Email Marketing,2399.841374880736,14,171.4172410629097,0.5833718905982171,14.000000000000002
CUST0023,Social Media,3600.5763729995,45,80.01280828887778,1.2497999025226132,45.0
CUST0024,Online Ads,4124.932198443579,23,179.3448781931991,0.5575849224546858,23.0
CUST0025,Referral,3607.0186209755575,47,76.74507704203315,1.3030151751001589,46.99999999999999
CUST0026,Social Media,4016.932816238105,23,174.6492528799176,0.5725761682402176,23.0
CUST0027,Online Ads,4798.446930863956,24,199.93528878599818,0.5001618303962115,24.0
CUST0028,Online Ads,1797.4427294501315,31,57.98202353064941,1.724672474515137,31.0
CUST0029,Referral,1081.5200692813294,19,56.92210890954365,1.7567866320433156,19.0
CUST0030,Email Marketing,1609.5293831391614,48,33.53186214873253,2.9822381935260314,48.0
CUST0031,Referral,1504.883899496825,10,150.4883899496825,0.6645030891315677,10.0
CUST0032,Email Marketing,3677.8353784796423,27,136.21612512887563,0.734127475035638,27.0
CUST0033,Email Marketing,3255.8783277200764,19,171.36201724842508,0.5835598903754097,19.0
CUST0034,Referral,1871.8581636260144,18,103.99212020144525,0.9616113202258784,18.0
CUST0035,Social Media,3797.859884984604,44,86.31499738601373,1.1585472169197304,44.0
CUST0036,Email Marketing,4067.592393424963,26,156.44586128557552,0.6391987565427537,25.999999999999996
CUST0037,Referral,1671.156573471209,21,79.57888445100996,1.2566147501296228,21.0
CUST0038,Email Marketing,3428.9899755637266,17,201.7052926802192,0.49577281126945255,17.0
CUST0039,Referral,3991.702607821144,11,362.8820552564676,0.27557163147492864,11.0
CUST0040,Email Marketing,1458.1314855155906,18,81.00730475086614,1.234456575336569,18.0
